direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
90.05,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,87.33,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.011968421,0.012455860,0.012539533,0.014783612,0.012836998,0.011804917,0.011054516,0.011956478,0.011946281,0.011559975,0.011647419,0.011849268,0.011774675,0.011421545,0.012475906,0.011711256,0.011169898,0.011812949,0.011134347,0.011778027
90.05,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,87.33,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012343133,0.012366390,0.012242837,0.014372722,0.012388531,0.012182352,0.011493134,0.012347532,0.011915898,0.011012191,0.011418961,0.011870780,0.011999012,0.011177860,0.011613056,0.010979503,0.011162424,0.011542933,0.011493414,0.011654473
89.12,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,85.61,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012335519,0.012599668,0.012138840,0.014759307,0.012275943,0.012098330,0.011479864,0.013037170,0.012051605,0.011495719,0.011727460,0.012180117,0.011522678,0.011191270,0.011511084,0.011354565,0.011338640,0.011850665,0.011275711,0.011488106
89.12,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,85.61,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012637943,0.012471086,0.012321900,0.014354912,0.012199255,0.011806383,0.011575341,0.012953916,0.011678360,0.011636733,0.011688068,0.011301693,0.011878882,0.011185263,0.012414304,0.011471763,0.011642670,0.011743315,0.011329211,0.011911778
89.12,84.95,100.00,66.20,100.00,96.30,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,85.61,82.72,100.00,64.85,100.00,95.43,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012419611,0.012668604,0.012340060,0.013591100,0.011713282,0.012375471,0.011291635,0.012130249,0.011572198,0.011914152,0.011855694,0.011470854,0.012003343,0.011347929,0.012298851,0.011191339,0.011739752,0.012256387,0.011842213,0.012165311
89.12,84.95,100.00,66.20,100.00,96.30,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,85.61,82.72,100.00,64.85,100.00,95.43,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012581370,0.012755699,0.012084780,0.014094674,0.011917296,0.012187730,0.011207683,0.013265140,0.011068973,0.011822029,0.011580648,0.011662436,0.011844099,0.011291635,0.011675567,0.011390464,0.011271451,0.011815464,0.011408833,0.012031560
89.12,84.95,100.00,66.20,100.00,96.30,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,85.61,82.72,100.00,64.85,100.00,95.43,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012141284,0.012779028,0.012281391,0.014096559,0.011804917,0.011625349,0.011356660,0.012166009,0.011465825,0.011448155,0.011546216,0.012205959,0.012080032,0.011227728,0.012246260,0.011874900,0.011136652,0.011912755,0.011974009,0.011698196
89.12,84.95,100.00,66.20,100.00,96.30,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,85.61,82.72,100.00,64.85,100.00,95.43,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012087155,0.012153856,0.011387880,0.013833668,0.011760077,0.012092184,0.011247773,0.011900812,0.011282486,0.011459609,0.011831109,0.012070532,0.012779516,0.011198185,0.011876157,0.011636244,0.011371537,0.012208962,0.012266234,0.011811552
89.35,84.95,100.00,66.20,100.00,96.30,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,86.03,82.72,100.00,64.85,100.00,95.43,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012434907,0.012645696,0.012058310,0.013704667,0.011688347,0.011954033,0.011801914,0.011661667,0.011642739,0.011501725,0.011643089,0.011919461,0.012206169,0.011062687,0.011847522,0.011477768,0.011021620,0.011908355,0.011842772,0.012403408
89.35,84.95,100.00,66.20,100.00,96.30,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,96.53,100.00,100.00,86.03,82.72,100.00,64.85,100.00,95.43,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.70,100.00,100.00,96.26,100.00,100.00,0.012142681,0.012850268,0.012134998,0.013726597,0.012408995,0.011788923,0.011240160,0.011989095,0.012044620,0.011305884,0.011296245,0.012028626,0.012518021,0.011278085,0.011189314,0.011778447,0.010911825,0.011828315,0.011928960,0.012486802
